iter,device_epoch_ms,am_total_ms,am_this_ms,am_wait_ms,page_ready_ms,fcp_ms,fpt_ms,stop_line
1,1757850401551,,,,394,787,2407,TIMEOUT_10s_no_TRACE_STOPPED
2,1757850417316,,,,365,727,2167,TIMEOUT_10s_no_TRACE_STOPPED
3,1757850433100,,,,402,782,2628,TIMEOUT_10s_no_TRACE_STOPPED
4,1757850448937,,,,384,782,2307,TIMEOUT_10s_no_TRACE_STOPPED
5,1757850464551,,,,359,764,2202,TIMEOUT_10s_no_TRACE_STOPPED
6,1757850480259,,,,387,744,2199,TIMEOUT_10s_no_TRACE_STOPPED
7,1757850496127,,,,531,1140,2616,TIMEOUT_10s_no_TRACE_STOPPED
8,1757850512131,,,,367,710,2313,TIMEOUT_10s_no_TRACE_STOPPED
9,1757850528017,,,,285,677,2194,TIMEOUT_10s_no_TRACE_STOPPED
10,1757850543667,,,,358,713,2162,TIMEOUT_10s_no_TRACE_STOPPED
11,1757850559562,,,,462,860,2258,TIMEOUT_10s_no_TRACE_STOPPED
12,1757850575278,,,,409,768,2233,TIMEOUT_10s_no_TRACE_STOPPED
13,1757850591047,,,,349,714,2191,TIMEOUT_10s_no_TRACE_STOPPED
14,1757850606745,,,,405,750,2186,TIMEOUT_10s_no_TRACE_STOPPED
15,1757850622634,,,,340,769,2246,TIMEOUT_10s_no_TRACE_STOPPED
16,1757850638474,,,,395,749,2193,TIMEOUT_10s_no_TRACE_STOPPED
17,1757850654278,,,,366,734,2164,TIMEOUT_10s_no_TRACE_STOPPED
18,1757850670103,,,,341,707,2166,TIMEOUT_10s_no_TRACE_STOPPED
19,1757850686091,,,,372,748,2208,TIMEOUT_10s_no_TRACE_STOPPED
20,1757850702067,,,,362,723,2257,TIMEOUT_10s_no_TRACE_STOPPED
21,1757850718135,,,,433,841,2200,TIMEOUT_10s_no_TRACE_STOPPED
22,1757850734336,,,,370,740,2222,TIMEOUT_10s_no_TRACE_STOPPED
23,1757850750544,,,,339,700,2158,TIMEOUT_10s_no_TRACE_STOPPED
24,1757850766628,,,,355,704,2161,TIMEOUT_10s_no_TRACE_STOPPED
25,1757850782768,,,,366,773,2173,TIMEOUT_10s_no_TRACE_STOPPED
26,1757850799114,,,,333,740,2188,TIMEOUT_10s_no_TRACE_STOPPED
27,1757850815336,,,,342,689,2295,TIMEOUT_10s_no_TRACE_STOPPED
28,1757850831842,,,,335,701,1999,TIMEOUT_10s_no_TRACE_STOPPED
29,1757850848568,,,,394,767,2171,TIMEOUT_10s_no_TRACE_STOPPED
30,1757850864902,,,,318,672,2021,TIMEOUT_10s_no_TRACE_STOPPED
31,1757850881180,,,,349,737,2157,TIMEOUT_10s_no_TRACE_STOPPED
32,1757850897588,,,,338,690,2073,TIMEOUT_10s_no_TRACE_STOPPED
33,1757850913792,,,,348,699,2150,TIMEOUT_10s_no_TRACE_STOPPED
34,1757850930048,,,,304,681,2198,TIMEOUT_10s_no_TRACE_STOPPED
35,1757850946403,,,,327,676,2099,TIMEOUT_10s_no_TRACE_STOPPED
